Index,FRB,RA,DEC,Galactic lon,Galactic lat,abs(Galactic lat),z,log(1+z),Repeater,Host magnitude (AB),MF/Mo,MF/Mo error,log(MF/Mo),log(MF/Mo) error,Z*/Zo,Z*/Zo error,log(Z*/Zo),log(Z*/Zo) error,Av_old (mag),Av_old error,Av_young (mag),Av_young error,Zgas/Zo,Zgas/Zo error,log(Zgas/Zo),log(Zgas/Zo) error,SFR 0-100 Myr (Mo yr-1),SFR error,log(SFR),log(SFR) error,M*/Mo,M*/Mo error,log(M*/Mo),log(M*/Mo) error,SFR/M,SFR/M error,log(SFR/M),log(SFR/M) error,tm (Gyr),tm error,log(tm),log(tm) error,DM_MW (NE2001),DM_MW error (NE2001),log(DM_MW) (NE2001),log(DM_MW) error (NE2001),DM_MW (YMW16),DM_MW error (YMW16),DM_IGM,log(DM_IGM),DM_obs (pc cm^-3),DM_obs error,log(DM_obs),DM_ex (NE2001),DM_ex error (NE2001),log(DM_ex),log(DM_ex) error,RM_MW (rad/m^2),RM_MW error,abs(RM_MW),abs(RM_MW) error,log(abs(RM_MW)),log(abs(RM_MW)) error,RM_obs (rad/m^2),RM_obs error,abs(RM_obs),abs(RM_obs) error,log(abs(RM_obs)),log(abs(RM_obs)) error,RM_ex (rad/m^2),RM_ex error,abs(RM_ex),abs(RM_ex) error,log(abs(RM_ex)),log(abs(RM_ex)) error,Tau_MW (ms),Tau_MW error,log(Tau_MW),log(Tau_MW) error,Tau_obs (ms),Tau_obs error,log(Tau_obs),log(Tau_obs) error,Tau_ex (ms),Tau_ex error,log(Tau_ex),log(Tau_ex) error,Fluence,Fluence error,Burst energy,Burst energy error,log(Burst energy),log(Burst energy) error,Linear polarisation fraction,Linear polarisation fraction error,Total polarisation fraction,Total polarisation fraction error,Burst width (ms),Components
10,20190714A,183.9797083,-13.021,289.6969368376686,48.93572883472871,48.93572883472871,0.2365,0.09219412069731607,N,20.34,26302679918.953815,2725387140.9229603,10.42,0.045,0.8128305161640993,0.7205704004152927,-0.09,0.385,0.69,0.205,1.05,0.275,1.318256738556407,0.6526106377118704,0.12,0.215,1.89,0.47,0.2764618041732441,0.10799915687541181,16595869074.375631,1528536029.437529,10.22,0.04,1.138837617680536e-10,3.0200335528271624e-11,-9.943538195826756,0.11516864975243832,5.48,0.885,0.7387805584843692,0.07013697381101784,38.4913,0.8530031132937849,1.5853625791458328,0.009624370835741716,,,136.5,2.1351326513767748,504.13,0.1,2.7025425424030116,329.1387,0.8588447538926285,2.517378949472493,0.0011332351298316634,-10.694193840026855,4.759557723999023,10.694193840026855,4.759557723999023,1.0291480517384275,0.19328709454434065,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,14635932.870401297,2439322.145066883,7.165420408871338,0.07238241365054197,,,,,,0
11,20191001A,323.3517842,-54.74821877,341.22639347693354,-44.90385450556985,44.90385450556985,0.234,0.09131515969722287,N,18.36,83176377110.26709,16279258311.984938,10.92,0.085,0.3019951720402016,0.07301380603607376,-0.52,0.105,1.06,0.1,1.15,0.265,0.831763771102671,0.2106727546256874,-0.08,0.11,18.28,13.095,1.2619761913978127,0.3111097505756609,53703179637.02533,9274210565.894693,10.73,0.075,3.403895285819714e-10,2.50825756980651e-10,-9.468023808602188,0.32002230688383265,3.89,1.62,0.5899496013257077,0.1808629976049532,44.1742,1.2329719670103343,1.6451686931254559,0.012121847630833979,31.08124542236328,0.7935505646857229,134.0,2.1271047983648077,507.0,0.07,2.705007959333336,328.8258,1.2349574370938186,2.5169658853827688,0.001631061797204561,23.454063415527344,4.295185089111328,23.454063415527344,4.295185089111328,1.3702180950708733,0.07953313461748544,53.3,0.8,53.3,0.8,1.7267272090265722,0.006518491285602279,29.845936584472653,4.369051950907003,29.845936584472653,4.369051950907003,1.4748852118785944,0.06357499112340469,0.0003166496689577776,2.825532653840718e-08,-3.499420961670724,3.8753024566215456e-05,3.2601640643469167,0.12800223225083776,0.5132394560334806,0.01705149251406565,3.2601640489693144,0.12800223285460108,0.5132394539849924,0.017051492674923244,143.0,15.0,170268881.9661228,17860372.23420869,8.231135284338068,0.045555365234606834,0.5596244235322346,0.01742270083193213,0.5728978495821834,0.017668016567597724,17.523809523809526,3
12,20191228B,344.4308541666666,-29.594203999999998,20.555105176524016,-64.92473718706262,64.92473718706262,0.2432,0.09454100145683908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9465,0.38375846699309296,1.5178092850477105,0.005058630950138906,19.92477798461914,0.5782764928200046,141.20000000000002,2.149834696715785,298.0,,2.4742162640762553,123.85349999999997,,2.0929082839069912,,18.199256896972656,6.126592636108398,18.199256896972656,6.126592636108398,1.2600536554503026,0.1462007701629606,,,,,,,,,,,,,2.0053954512578816e-05,1.783936268641868e-09,-4.697799974482801,3.8633461397964026e-05,6.007713109814918,0.1483311313882463,0.7787091853477807,0.010722780978195911,6.007713109781448,0.1483311313890727,0.7787091853453612,0.010722780978315388,,,,,,,0.8992647474512449,0.05413651249809268,0.9544453976452404,0.05658264270340123,22.0952380952381,1
13,20200430A,229.7064167,12.37675,17.1399251495872,52.50321144707397,52.50321144707397,0.161,0.06483221973857385,N,21.05,3235936569.296281,633336641.0385524,9.51,0.085,0.10232929922807542,0.07893334285799636,-0.99,0.335,0.38,0.145,1.08,0.325,0.7585775750291838,0.10480136496850626,-0.12,0.06,0.11,0.05,-0.958607314841775,0.19740658268329628,1995262314.9688828,390512207.36011195,9.3,0.085,5.51305956989999e-11,2.7283673635250233e-11,-10.258607314841775,0.21492872978431032,5.99,1.135,0.7774268223893114,0.08229119147916374,27.1822,0.7266953998906438,1.4342846035809644,0.011610531973018501,26.07645606994629,0.4089472467561239,89.0,1.9493900066449128,380.25,,2.580069222725036,264.0678,,2.4217154472694267,,14.53262424468994,6.952796459197998,14.53262424468994,6.952796459197998,1.162344044585769,0.2077781056734796,192.7,1.0,192.7,1.0,2.284881714655453,0.0022537336891710006,178.16737575531005,7.0243418626257235,178.16737575531005,7.0243418626257235,2.250828183277925,0.017122286821634577,0.00022326099644536833,1.1676779371595839e-08,-3.651187141272869,2.2714047362619824e-05,7.041717741956316,0.20356645135762663,0.8476786129568857,0.012554860868462286,7.041717738417018,0.2035664514599429,0.8476786127386012,0.012554860881082897,,,,,,,0.4809995160640063,0.07040162253359895,0.5260470947297299,0.036536602731500584,26.0952380952381,1
14,20200906A,53.49616667,-14.08318333,202.25744299767285,-49.99870870356053,49.99870870356053,0.3688,0.13633999653304388,N,19.95,37153522909.71728,4705203140.227028,10.57,0.055,0.40738027780411273,0.15477457955050133,-0.39,0.165,0.2,0.1,1.09,0.25,0.5495408738576245,0.17082422425829083,-0.26,0.135,4.93,2.9,0.69284691927723,0.25546734229603046,23442288153.19918,2698893162.3613677,10.37,0.05,2.1030370276918542e-10,1.2605518799851753e-10,-9.67715308072277,0.26031435415627235,4.3,0.985,0.6334684555795865,0.09948373597086117,35.8365,0.5199729555039909,1.5543255873485768,0.006301435277281775,,,226.8,2.355643050220869,577.84,0.02,2.7618076018522353,315.2035,0.5203574487364963,2.498591031223125,0.0007169602133336543,30.265077590942383,19.7794189453125,30.265077590942383,19.7794189453125,1.4809417916559697,0.2838285306683854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,20201124A,77.01461542,26.06069556,177.76773971732771,-8.52325527305167,8.52325527305167,0.0982,0.04068143937335804,y,17.86,26915348039.26914,3098743958.3983827,10.43,0.05,0.2630267991895382,0.0666205745558946,-0.58,0.11,0.73,0.1,1.25,0.26,1.5135612484362082,0.5227655351974007,0.18,0.15,2.72,1.435,0.43456890403419873,0.22912227262175233,16595869074.375631,1910670036.7969112,10.22,0.05,1.638962074122252e-10,8.850221805664385e-11,-9.785431095965802,0.23451442559330246,6.13,1.08,0.787460474518415,0.076515177888338,139.9483,9.40945801806825,2.1459676273101955,0.029199895210926814,,,52.0,1.7160033436347992,411.0,1.0,2.6138418218760693,219.05169999999998,9.462446839680997,2.340546627967307,0.018760358617515047,-43.98793029785156,23.63960838317871,43.98793029785156,23.63960838317871,1.643333528210818,0.2333947381850289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,20210117A,339.979229,-16.151514,45.91756185797539,-57.64663969103606,57.64663969103606,0.2145,0.08439751914114932,N,22.97,630957344.4801943,87169978.54291226,8.8,0.06,0.01513561248436208,0.005227655351974006,-1.82,0.15,0.05,0.045,1.19,0.29,0.5011872336272722,0.08655196897118109,-0.3,0.075,0.02,0.01,-1.6989700043360187,0.21714724095162588,389045144.99428046,49269525.32510456,8.59,0.055,5.14079156553773e-11,2.6515634879540773e-11,-10.288970004336019,0.22400429516619422,5.01,1.05,0.6998377258672457,0.0910198015964899,34.3756,0.3701015494428525,1.5362502871849386,0.004675789241987758,23.10309600830078,0.3833549789464676,122.5,2.0881360887005513,729.1,0.1,2.8627870982353443,572.2244000000001,0.3833733909649967,2.757566372447623,0.0002909644331920065,3.306922912597656,9.22514820098877,3.306922912597656,9.22514820098877,0.5194240712294972,1.2115283798018743,43.3,0.8,43.3,0.8,1.6364878963533653,0.008023916524771397,39.99307708740234,9.25977101931826,39.99307708740234,9.25977101931826,1.6019848202542435,0.10055408961378257,3.193447993994462e-05,1.721189136147481e-09,-4.495740152029916,2.3407393686899417e-05,0.0,0.0,,,,,,,,,,,,,0.9518849827399637,0.09356863867419302,0.9622736562122373,0.09455211191706263,3.2380952380952386,10
17,20210320C,204.458692,-16.122683,318.8730700785376,45.30821593345578,45.30821593345578,0.2797,0.10710816994855399,N,19.47,37153522909.71728,5132948880.247665,10.57,0.06,0.15135612484362082,0.05750420887171407,-0.82,0.165,0.64,0.16,1.26,0.26,1.023292992280754,0.32987068657073104,0.01,0.14,3.51,1.945,0.5453071164658241,0.24065605906034898,23442288153.19918,2968782478.597505,10.37,0.055,1.4972941109935953e-10,8.510895090422271e-11,-9.824692883534174,0.24686097051267172,4.56,1.07,0.658964842664435,0.1019068192185262,39.2879,1.3190396891509952,1.5942588157095925,0.014580867351262293,30.388126373291016,0.8263407142888843,165.7,2.219322508419337,384.593,1.0,2.585001375354777,179.60510000000005,1.655253968898898,2.2543186645718793,0.004002490268044994,-2.7730584144592285,5.670181751251221,2.7730584144592285,5.670181751251221,0.4429590180849315,0.8880190309431824,-288.59,0.4,288.59,0.4,2.4602812781779106,0.0006019536115641592,-285.81694158554075,5.684273136665968,285.81694158554075,5.684273136665968,2.4560879676986587,0.008637166303684937,0.0003762843356409013,3.6241944431837953e-08,-3.4244838605701626,4.1829209960024277e-05,0.0,0.0,,,,,,,,,,,,,0.7562754157890479,0.10953927675062497,0.7816270156317263,0.11317937877440898,0.8571428571428572,10
18,20210407E,78.692917,27.070083,177.819208173052,-6.714902779056438,6.714902779056438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.9294,8.22414144956177,2.1873215765458585,0.02320348971630168,220.41571044921875,16.786146982686677,,,1785.3,,3.2517112049844568,,,,,-59.60600662231445,28.629404067993164,59.60600662231445,28.629404067993164,1.775290026711418,0.20859629610303784,,,,,,,,,,,,,0.21356123699684287,6.683737474467966e-05,-0.6704775722712034,0.00013591934306385036,0.06816062969797136,0.015278363423076662,-1.1664664060187773,0.09734811659687698,,,,,,,,,,,0.9112438429554235,0.27099653347747094,0.9440786256661511,0.28047931660358144,1.2380952380952381,10
19,20210410D,326.08625,-79.318194,312.32240090097525,-34.12950767558066,34.12950767558066,0.1415,0.057475915826254054,N,20.65,5011872336.272715,634714439.1219937,9.7,0.055,0.09120108393559097,0.04829959895704782,-1.04,0.23,0.39,0.12,1.14,0.29,1.0715193052376064,0.6044797728783851,0.03,0.245,0.03,0.02,-1.5228787452803376,0.2895296546021679,2951209226.66639,339770518.58142585,9.47,0.05,1.0165324684176065e-11,6.877194806100428e-12,-10.992878745280338,0.2938152836291037,6.78,1.25,0.8312296938670634,0.08006904164882961,56.193,1.8297341327240844,1.7496822185812193,0.014141324314275837,,,77.5,1.8893017025063104,575.0,1.0,2.7596678446896306,441.307,2.0851683376781733,2.644740816269451,0.00205203430467454,23.42376518249512,9.06214427947998,23.42376518249512,9.06214427947998,1.369656705704383,0.16801907055192086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
