Index,FRB,RA,DEC,Galactic lon,Galactic lat,abs(Galactic lat),z,log(1+z),Repeater,Host magnitude (AB),MF/Mo,MF/Mo error,log(MF/Mo),log(MF/Mo) error,Z*/Zo,Z*/Zo error,log(Z*/Zo),log(Z*/Zo) error,Av_old (mag),Av_old error,Av_young (mag),Av_young error,Zgas/Zo,Zgas/Zo error,log(Zgas/Zo),log(Zgas/Zo) error,SFR 0-100 Myr (Mo yr-1),SFR error,log(SFR),log(SFR) error,M*/Mo,M*/Mo error,log(M*/Mo),log(M*/Mo) error,SFR/M,SFR/M error,log(SFR/M),log(SFR/M) error,tm (Gyr),tm error,log(tm),log(tm) error,DM_MW (NE2001),DM_MW error (NE2001),log(DM_MW) (NE2001),log(DM_MW) error (NE2001),DM_MW (YMW16),DM_MW error (YMW16),DM_IGM,log(DM_IGM),DM_obs (pc cm^-3),DM_obs error,log(DM_obs),DM_ex (NE2001),DM_ex error (NE2001),log(DM_ex),log(DM_ex) error,RM_MW (rad/m^2),RM_MW error,abs(RM_MW),abs(RM_MW) error,log(abs(RM_MW)),log(abs(RM_MW)) error,RM_obs (rad/m^2),RM_obs error,abs(RM_obs),abs(RM_obs) error,log(abs(RM_obs)),log(abs(RM_obs)) error,RM_ex (rad/m^2),RM_ex error,abs(RM_ex),abs(RM_ex) error,log(abs(RM_ex)),log(abs(RM_ex)) error,Tau_MW (ms),Tau_MW error,log(Tau_MW),log(Tau_MW) error,Tau_obs (ms),Tau_obs error,log(Tau_obs),log(Tau_obs) error,Tau_ex (ms),Tau_ex error,log(Tau_ex),log(Tau_ex) error,Fluence,Fluence error,Burst energy,Burst energy error,log(Burst energy),log(Burst energy) error,Linear polarisation fraction,Linear polarisation fraction error,Total polarisation fraction,Total polarisation fraction error,Burst width (ms),Components
20,20210807D,299.221433,-0.762361,39.86064398206842,-14.876522618449297,14.876522618449297,0.12927,0.05279779089844987,N,17.17,158489319246.11108,7298702877.897394,11.2,0.02,0.3019951720402016,0.03129163115831732,-0.52,0.045,0.04,0.03,1.08,0.16,0.5495408738576245,0.08857552368948414,-0.26,0.07,0.63,0.175,-0.2006594505464183,0.12063735608423659,93325430079.69925,4297794881.975472,10.97,0.02,6.750571622996917e-12,1.900753515135464e-12,-11.170659450546419,0.12228397966616435,8.36,2.045,0.9222062774390164,0.10623591094403707,121.1825,10.927704999022236,2.0834399077661003,0.03916276674389401,,,69.27,1.8405451876368388,251.3,1.0,2.400192488592576,60.84750000000001,10.973364868883909,1.784242739369553,0.078321571312992,-46.798152923583984,22.68903923034668,46.798152923583984,22.68903923034668,1.6702287122423838,0.2105579797885606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,20211127I,199.808667,-18.8379722,312.02060849330337,43.54290166279618,43.54290166279618,0.0469,0.019905199804613985,N,14.97,3801893963.2056127,437709218.2410649,9.58,0.05,0.29512092266663853,0.016988525929071265,-0.53,0.025,0.06,0.01,1.22,0.28,1.9498445997580451,0.561210388632227,0.29,0.125,35.83,1.24,1.5542468081661105,0.015030007188390516,3019951720.402019,278147832.51837647,9.48,0.04,1.1864428082721236e-08,1.1673500974654925e-09,-7.9257531918338895,0.042730564191022224,3.85,2.89,0.5854607295085007,0.3260028708312721,42.4707,1.2226581072083158,1.628089419070077,0.012502588118746476,31.45978355407715,0.9860523824191463,22.9,1.359835482339888,234.97,1.0,2.3710124168838402,169.5993,1.579522980878158,2.2294240554279785,0.004044698973608732,-2.892115592956543,6.210976600646973,2.892115592956543,6.210976600646973,0.4612156469834642,0.9326711807302677,81.0,37.0,81.0,37.0,1.9084850188786497,0.19838143000518907,83.89211559295654,37.517678903868564,83.89211559295654,37.517678903868564,1.9237211465811122,0.19422231525099545,9.035905956501571e-05,1.0057889116193516e-08,-4.044028297758865,4.834142546176751e-05,0.04170787396449502,0.004398708443961853,-1.3797819475078186,0.04580273754399702,0.04170777608406562,0.004398718766916269,-1.3797829667153738,0.04580295252534103,,,,,,,0.198718884735896,0.015196184392377908,0.2568480917557881,0.019362248075432145,0.5028571428571429,10
22,20211203C,204.562417,-31.380333,314.5184737849428,30.43629649976645,30.43629649976645,0.34386,0.12835402735291288,N,19.64,7943282347.242822,1737557934.6093874,9.9,0.095,1.0,0.3569006894140771,0.0,0.155,0.04,0.03,1.08,0.255,0.5623413251903491,0.18775161912088315,-0.25,0.145,15.91,2.9,1.2016701796465816,0.07916115634942993,5754399373.371567,1059999537.300772,9.76,0.08,2.7648411185402613e-09,7.164963592014321e-10,-8.558329820353418,0.11254549602084879,2.47,1.625,0.39269695325966575,0.28572005388371824,63.7271,2.9662876840795844,1.8043241556891272,0.020214985036716555,,,209.86,2.3219296685265176,635.0,1.0,2.8027737252919755,361.41290000000004,3.1303135026259308,2.55800364988189,0.003761564351515073,-29.20741844177246,9.137544631958008,29.20741844177246,9.137544631958008,1.4654931726517646,0.135869084757195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,20211212A,157.350667,1.360464,244.0076404257081,47.31578120653422,47.31578120653422,0.0707,0.02966780267532286,N,16.44,30902954325.13592,4625184327.304701,10.49,0.065,0.16982436524617442,0.044969030961946994,-0.77,0.115,0.19,0.035,1.19,0.265,1.5848931924611136,0.7846105593739713,0.2,0.215,0.73,0.505,-0.1366771398795441,0.3004365936454002,19054607179.632442,2413116994.457344,10.28,0.055,3.8310944598233534e-11,2.694321731420736e-11,-10.416677139879543,0.30542944651957077,5.83,1.105,0.7656685547590141,0.08231482032643109,38.7516,0.701158607037111,1.5882896386313798,0.007857980418232739,27.461042404174805,0.6960091658020157,36.0,1.5563025007672873,209.0,1.0,2.3201462861110542,134.2484,1.2213203479113175,2.127909118391617,0.003950979585112708,5.969520568847656,5.669261455535889,5.969520568847656,5.669261455535889,0.7759394529610496,0.41245003484112597,,,,,,,,,,,,,2.0848380043429314e-05,1.8213124958209427e-09,-4.680927684840437,3.793992459408212e-05,1.6892865977642995,0.04611309548166224,0.22770333652695968,0.011855100808630186,1.689286597635649,0.04611309548517406,0.22770333649388524,0.011855100810435877,,,,,,,0.5101611576242768,0.05781791618250636,0.550397731030868,0.06157699654041297,6.2857142857142865,1
24,20220105A,208.804208,22.466056,18.556684316087487,74.80764449061734,74.80764449061734,0.2785,0.10670073236235425,N,21.19,16595869074.375631,2483871047.8359847,10.22,0.065,0.1548816618912481,0.05349423087733979,-0.81,0.15,0.76,0.16,1.15,0.27,0.72443596007499,0.21684980752467523,-0.14,0.13,0.42,0.25,-0.37675070960209955,0.258508620180507,10232929922.807537,1413731513.8745608,10.01,0.06,4.1043963280144096e-11,2.5080354415008042e-11,-10.386750709602099,0.2653803058021255,5.67,0.985,0.7535830588929066,0.07544621951934798,22.0378,0.1937534317688912,1.3431682373871408,0.003818259820265528,,,164.5,2.216165902285993,580.0,1.0,2.7634279935629373,393.46220000000005,1.0185972669913377,2.594903015932819,0.0011243041195217003,3.929965257644653,1.492121696472168,3.929965257644653,1.492121696472168,0.5943887110675619,0.164892098688516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,20220501C,352.458333,-32.45,11.261677562871185,-71.54661609842081,71.54661609842081,0.381,0.1401936785786313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6042,0.28897935950898296,1.4857810314376731,0.004100814307143702,14.016716003417969,0.557673506686619,235.0,2.3710678622717363,449.5,,2.6527296960692475,183.8958,,2.264571810490642,,9.628778457641602,4.497791290283203,9.628778457641602,4.497791290283203,0.9835711944188843,0.20286747137403185,,,,,,,,,,,,,3.393100256278157e-05,3.8811482608886675e-09,-4.469403308022103,4.967614116422303e-05,0.6023336775133767,0.10188837213737108,-0.22016285399804836,0.07346352933815922,0.6023336765576665,0.10188837229903523,-0.22016285468713437,0.07346352957128532,,,,,,,0.6582626128489815,0.05876088485064727,0.6721888160867086,0.059938890819437395,6.190476190476191,10
26,20220610A,351.073204,-33.513714,8.839606768174324,-70.1857390237044,70.1857390237044,1.015,0.30427505047712816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9579,0.2874003206717457,1.4907714930527072,0.004031810082885603,13.578906059265137,1.1167997847147975,722.9999999999999,2.859138297294531,1458.1,0.2,3.163787309962003,704.1420999999999,0.3501413205010546,2.8476603111569023,0.00021595703960880332,11.943812370300291,4.89357852935791,11.943812370300291,4.89357852935791,1.0771429722803254,0.17793767066745517,,,,,,,,,,,,,6.616494672411946e-06,1.6617567619725835e-09,-5.179372032858804,0.0001090746426501733,0.48385834432810854,0.017463354183062576,-0.3152817649695855,0.015674501527420615,0.48385834428287006,0.017463354184695315,-0.31528176501018995,0.015674501530351596,45.0,5.0,1775415137.1057875,197268348.5673097,9.249299918334346,0.04825494243369464,0.9534243939716016,0.122941595709104,0.9642686407459382,0.12432819532179708,1.980952380952381,2
27,20220725A,336.75,34.883333,92.13841594712554,-19.21053916563135,19.21053916563135,0.1926,0.07649480500972045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1157,4.25112482910373,1.8519654892061241,0.02596107547505901,61.23551559448242,3.7833576867063616,108.6,2.035829825252828,290.4,,2.462996612028056,110.68429999999998,,2.044086022803545,,-190.67897033691406,49.760711669921875,190.67897033691406,49.760711669921875,2.280302798078773,0.11333605617673154,,,,,,,,,,,,,0.0040525725495316675,1.029407059840502e-06,-2.392269201629543,0.00011031654591171856,2.2829817347095682,0.10977510369135293,0.3585024368750021,0.02088265580871012,2.282978137800106,0.1097752766457508,0.3585017526298598,0.020882721611426493,,,,,,,0.6620401374913295,0.10163608415597512,0.726548152438856,0.11028624905762917,8.761904761904763,1
28,20220918A,1:10:22.11,-70:48:40.50,300.68508139221314,-46.23432696350693,46.23432696350693,0.4908,0.17341938408180207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7431,0.7930189227180447,1.6100540698697046,0.008453056890155833,28.867416381835938,0.710345223379651,314.8,2.498034723687027,656.0,,2.8169038393756605,300.45689999999996,,2.4777821820470973,,14.634021759033203,9.81704044342041,14.634021759033203,9.81704044342041,1.1653636964416019,0.2913407239241527,,,,,,,,,,,,,6.701351344982425e-05,5.745455206177204e-09,-4.173837611852617,3.723457200812702e-05,10.245350868392153,0.6692515214241544,1.0105268360995667,0.028369183885791068,10.24535086817299,0.6692515214384708,1.0105268360902764,0.02836918388700479,,,,,,,0.28169860642393113,0.060369068332629484,0.4280402822350797,0.06105842160581363,38.095238095238095,1
29,20221106A,3:46:49.10,-25:34:10.52,220.90057043892543,-50.87896254010448,50.87896254010448,0.204,0.08062648692180573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7895,0.3909252823750341,1.541448187045911,0.0048801130505453615,31.84469985961914,0.9045065936542345,116.0,2.0644579892269186,343.0,,2.5352941200427703,192.21050000000002,,2.2837771084496143,,34.65747833251953,11.435190200805664,34.65747833251953,11.435190200805664,1.5397969603942787,0.14329490322624408,,,,,,,,,,,,,3.4707065713552145e-05,3.5157386994350233e-09,-4.459582101922954,4.399294165574322e-05,0.07236859472354712,0.019082246177899432,-1.1404498605608269,0.11451533982439809,0.07236858640101106,0.019082248372396932,-1.1404499105055814,0.11451536616339812,,,,,,,0.8717498460038241,0.03349119684616715,0.9041225367035655,0.03436304584372459,12.685714285714287,10
30,20230526A,1:28:55.77,-52:43:02.47,290.17129300797166,-63.4721331897918,63.4721331897918,0.157,0.06333335895174956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8599,0.333662592199565,1.5032444083290064,0.004548282405462857,21.859962463378906,0.32988212299213304,86.0,1.9344984512435677,316.148,,2.4998904387454375,198.28810000000004,,2.297296651374188,,9.721110343933105,6.132343292236328,9.721110343933105,6.132343292236328,0.9877158728175067,0.2739648824804024,,,,,,,,,,,,,2.6769411733075647e-05,1.2757575638439621e-09,-4.572361172477104,2.0697297189358543e-05,1.2374702275689426,0.020198155771474224,0.092534758993031,0.007088613043569054,1.2374702272793998,0.02019815577620018,0.09253475889141494,0.007088613046886236,,,,,,,0.4115377826213621,0.03494387126991042,0.4379820473490155,0.036557352540597395,4.571428571428572,1
31,20230708A,20:12:27.74, -55:21:22.58,343.4820948752973,-33.37992020376879,33.37992020376879,0.105,0.0433622780211295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2529,2.421781518597873,1.7799779545446317,0.017455862703742615,43.98441696166992,1.9899808984868117,55.0,1.7403626894942439,411.51,,2.6143803933564302,296.2571,,2.4716687673012734,,41.81644821166992,9.868356704711914,41.81644821166992,9.868356704711914,1.6213471421215422,0.10249012160514603,,,,,,,,,,,,,0.00112413564162584,1.959982416400082e-07,-2.9491812823119385,7.572124898013649e-05,0.13749851877334698,0.01935764319263643,-0.8617019803211863,0.06114187771776682,0.13749392344363326,0.019358290164886053,-0.8617164950934563,0.06114596476067978,,,,,,,0.9438367094246609,0.029239058234227278,1.1473675125415395,0.033451443189563924,26.685714285714287,17
