z,mean,median,mode
0.31,274.10545072545403,216.0,186.0
0.312,275.92537325437183,218.0,188.0
0.314,277.7458201374097,220.0,188.0
0.316,279.56678704966333,220.0,190.0
0.318,281.3882696740329,222.0,192.0
0.32,283.2102636934707,224.0,192.0
0.322,285.03276480270705,226.0,194.0
0.324,286.8557687106504,226.0,196.0
0.326,288.6792711406303,228.0,196.0
0.328,290.5032678307663,230.0,198.0
0.33,292.32775455938287,232.0,200.0
0.332,294.15272717373244,232.0,200.0
0.334,295.9781815419616,234.0,202.0
0.336,297.80411354618445,236.0,204.0
0.338,299.63051908269097,238.0,204.0
0.34,301.45739406214415,240.0,206.0
0.342,303.2847344044315,240.0,208.0
0.34400000000000003,305.1125360261627,242.0,210.0
0.34600000000000003,306.94079485542414,244.0,210.0
0.34800000000000003,308.7695068358375,246.0,212.0
0.35000000000000003,310.5986679267059,246.0,214.0
0.352,312.4282741031521,248.0,214.0
0.354,314.2583213622049,250.0,216.0
0.356,316.0888057868074,252.0,218.0
0.358,317.9197235202378,254.0,218.0
0.36,319.75107072085484,254.0,220.0
0.362,321.5828435614482,256.0,222.0
0.364,323.41503822937193,258.0,224.0
0.366,325.2476509266703,260.0,224.0
0.368,327.0806778595783,260.0,226.0
0.37,328.9141152109409,262.0,228.0
0.372,330.7479591707083,264.0,228.0
0.374,332.58220594488023,266.0,230.0
0.376,334.4168517555855,268.0,232.0
0.378,336.25189284115567,268.0,234.0
0.38,338.0873254562432,270.0,234.0
0.382,339.9231458931736,272.0,236.0
0.384,341.75935051480883,274.0,238.0
0.386,343.59593570784597,274.0,238.0
0.388,345.4328978741831,276.0,240.0
0.39,347.27023343098705,278.0,242.0
0.392,349.1079388107568,280.0,242.0
0.394,350.94601046138285,282.0,244.0
0.396,352.7844448492284,282.0,246.0
0.398,354.6232384677509,284.0,248.0
0.4,356.4623878285269,286.0,248.0
0.402,358.3018894587966,288.0,250.0
0.404,360.14173990286497,290.0,252.0
0.406,361.981935722487,290.0,252.0
0.40800000000000003,363.82247349691016,292.0,254.0
0.41000000000000003,365.6633498226968,294.0,256.0
0.41200000000000003,367.5045613107992,296.0,258.0
0.41400000000000003,369.3461045874054,296.0,258.0
0.41600000000000004,371.18797629635907,298.0,260.0
0.418,373.0301730992429,300.0,262.0
0.42,374.8726916754031,302.0,262.0
0.422,376.71552872196696,304.0,264.0
0.424,378.5586809538586,304.0,266.0
0.426,380.4021451080391,306.0,268.0
0.428,382.24591796080836,308.0,268.0
0.43,384.08999631279437,310.0,270.0
0.432,385.9343769819996,312.0,272.0
0.434,387.77905680380735,312.0,274.0
0.436,389.62403263099037,314.0,274.0
0.438,391.4693013337152,316.0,276.0
0.44,393.3148597995468,318.0,278.0
0.442,395.16070493870916,320.0,278.0
0.444,397.0068337036889,320.0,280.0
0.446,398.8532430713268,322.0,282.0
0.448,400.6999300353333,324.0,284.0
0.45,402.54689160628857,326.0,284.0
0.452,404.3941248116398,328.0,286.0
0.454,406.24162669569694,328.0,288.0
0.456,408.0893943196271,330.0,290.0
0.458,409.9374247602436,332.0,290.0
0.46,411.78571509729557,334.0,292.0
0.462,413.6342624186254,336.0,294.0
0.464,415.48306382906594,336.0,294.0
0.466,417.3321164505718,338.0,296.0
0.468,419.18141742219785,340.0,298.0
0.47000000000000003,421.03096390007636,342.0,300.0
0.47200000000000003,422.88075305739324,344.0,300.0
0.47400000000000003,424.73078208436544,344.0,302.0
0.47600000000000003,426.5810481963333,346.0,304.0
0.47800000000000004,428.4315486509639,348.0,306.0
0.48,430.28228072740234,350.0,306.0
0.482,432.1332417212041,352.0,308.0
0.484,433.9844289443102,352.0,310.0
0.486,435.8358397250198,354.0,310.0
0.488,437.6874714079643,356.0,312.0
0.49,439.53932135407746,358.0,314.0
0.492,441.3913869405792,360.0,316.0
0.494,443.2436655653003,362.0,316.0
0.496,445.09615465276295,362.0,318.0
0.498,446.94885164503154,364.0,320.0
0.5,448.8017540001033,366.0,322.0
0.502,450.6548591916756,368.0,322.0
0.504,452.5081647083089,370.0,324.0
0.506,454.3616680531887,370.0,326.0
0.508,456.21536674408617,372.0,328.0
0.51,458.06925831331836,374.0,328.0
0.512,459.92334030594054,376.0,330.0
0.514,461.77761027270896,378.0,332.0
0.516,463.6320657762093,378.0,334.0
0.518,465.48670439356914,380.0,334.0
0.52,467.34152371641113,382.0,336.0
0.522,469.19652135080713,384.0,338.0
0.524,471.0516949172308,386.0,340.0
0.526,472.90704205050804,388.0,340.0
0.528,474.7625603997702,388.0,342.0
0.53,476.61824762861517,390.0,344.0
0.532,478.4741014274095,392.0,346.0
0.534,480.3301195198591,394.0,346.0
0.536,482.1862996450351,396.0,348.0
0.538,484.0426395556545,396.0,350.0
0.54,485.899137018036,398.0,352.0
0.542,487.7557898120495,400.0,352.0
0.544,489.6125957310694,402.0,354.0
0.546,491.46955258192475,404.0,356.0
0.548,493.32665818485043,404.0,358.0
0.55,495.18391037324375,406.0,358.0
0.552,497.04130698544634,408.0,360.0
0.554,498.8988458618028,410.0,362.0
0.556,500.7565248552819,412.0,364.0
0.558,502.6143418322458,414.0,364.0
0.56,504.47229467239333,414.0,366.0
0.562,506.33038126870514,416.0,368.0
0.5640000000000001,508.18859952738694,418.0,370.0
0.5660000000000001,510.04694736781545,420.0,370.0
0.5680000000000001,511.9054227224802,422.0,372.0
0.5700000000000001,513.7640235369273,424.0,374.0
0.5720000000000001,515.622747774252,424.0,376.0
0.5740000000000001,517.4815934258284,426.0,376.0
0.5760000000000001,519.3405584989356,428.0,378.0
0.578,521.1996410134178,430.0,380.0
0.58,523.0588390016259,432.0,382.0
0.582,524.9181505083653,432.0,382.0
0.584,526.7775735908381,434.0,384.0
0.586,528.6371063185879,436.0,386.0
0.588,530.496746773445,438.0,388.0
0.59,532.3564930494683,440.0,388.0
0.592,534.216343252908,442.0,390.0
0.594,536.0762955031538,442.0,392.0
0.596,537.9363479331979,444.0,394.0
0.598,539.7964986881362,446.0,394.0
0.6,541.6567459249808,448.0,396.0
0.602,543.5170878130659,450.0,398.0
0.604,545.3775225358524,452.0,400.0
0.606,547.238048291341,452.0,400.0
0.608,549.0986632920202,454.0,402.0
0.61,550.9593657648172,456.0,404.0
0.612,552.8201539510455,458.0,406.0
0.614,554.6810261063557,460.0,406.0
0.616,556.5419805011809,462.0,408.0
0.618,558.403015421222,462.0,410.0
0.62,560.2641291664756,464.0,412.0
0.622,562.1253200510479,466.0,412.0
0.624,563.9865864031036,468.0,414.0
0.626,565.8479265648133,470.0,416.0
0.628,567.7093388923017,472.0,418.0
0.63,569.5708217555966,472.0,420.0
0.632,571.4323735385742,474.0,420.0
0.634,573.2939926389085,476.0,422.0
0.636,575.1556774680181,478.0,424.0
0.638,577.0174264509,480.0,426.0
0.64,578.8792380249471,480.0,426.0
0.642,580.7411106403918,482.0,428.0
0.644,582.603042761012,484.0,430.0
0.646,584.465032864089,486.0,432.0
0.648,586.3270794403558,488.0,432.0
0.65,588.1891809939411,490.0,434.0
0.652,590.0513360423198,490.0,436.0
0.654,591.913543116256,492.0,438.0
0.656,593.7758007597542,494.0,440.0
0.658,595.6381075300019,496.0,440.0
0.66,597.5004619973186,498.0,442.0
0.662,599.3628627459964,500.0,444.0
0.664,601.2253083820923,500.0,446.0
0.666,603.0877975294808,502.0,446.0
0.668,604.9503288248635,504.0,448.0
0.67,606.8129009176575,506.0,450.0
0.672,608.6755124699462,508.0,452.0
0.674,610.538162156426,510.0,452.0
0.676,612.4008486643559,512.0,454.0
0.678,614.2635706935042,512.0,456.0
0.68,616.1263269560994,514.0,458.0
0.682,617.9891161767761,516.0,460.0
0.684,619.851937092524,518.0,460.0
0.686,621.7147884525424,520.0,462.0
0.6880000000000001,623.5776690105482,522.0,464.0
0.6900000000000001,625.4405775192623,522.0,466.0
0.6920000000000001,627.3035127424548,524.0,466.0
0.6940000000000001,629.1664734562189,526.0,468.0
0.6960000000000001,631.0294584489144,528.0,470.0
0.6980000000000001,632.8924665211144,530.0,472.0
0.7000000000000001,634.755496485553,532.0,474.0
0.7020000000000001,636.6185471659666,532.0,474.0
0.704,638.4816173926246,534.0,476.0
0.706,640.3447060011613,536.0,478.0
0.708,642.207811832508,538.0,480.0
0.71,644.0709337328286,540.0,480.0
0.712,645.934070553769,542.0,482.0
0.714,647.7972211637604,542.0,484.0
0.716,649.6603844510255,544.0,486.0
0.718,651.5235593094626,546.0,486.0
0.72,653.3867446376086,548.0,488.0
0.722,655.2499393385765,550.0,490.0
0.724,657.1131423199965,552.0,492.0
0.726,658.9763524939515,554.0,494.0
0.728,660.8395687769178,554.0,494.0
0.73,662.7027900897043,556.0,496.0
0.732,664.5660153573904,558.0,498.0
0.734,666.4292435092666,560.0,500.0
0.736,668.2924734787736,562.0,502.0
0.738,670.1557042034424,564.0,502.0
0.74,672.0189346213508,564.0,504.0
0.742,673.8821636620596,566.0,506.0
0.744,675.7453902563798,568.0,508.0
0.746,677.6086133391498,570.0,508.0
0.748,679.4718318491799,572.0,510.0
0.75,681.3350447291859,574.0,512.0
0.752,683.1982509257336,574.0,514.0
0.754,685.0614493891752,576.0,516.0
0.756,686.9246390735917,578.0,516.0
0.758,688.787818936732,580.0,518.0
0.76,690.6509879399554,582.0,520.0
0.762,692.5141450481699,584.0,522.0
0.764,694.377289229775,586.0,522.0
0.766,696.2404194566026,586.0,524.0
0.768,698.1035347035967,588.0,526.0
0.77,699.9666339483663,590.0,528.0
0.772,701.8297161716873,592.0,530.0
0.774,703.6927803575463,594.0,530.0
0.776,705.555825493081,596.0,532.0
0.778,707.418850568525,596.0,534.0
0.78,709.2818545771498,598.0,536.0
0.782,711.1448365152086,600.0,538.0
0.784,713.0077953818794,602.0,538.0
0.786,714.870730179209,604.0,540.0
0.788,716.7336399120567,606.0,542.0
0.79,718.59652358804,608.0,544.0
0.792,720.4593802174752,608.0,544.0
0.794,722.3222088133278,610.0,546.0
0.796,724.1850083919469,612.0,548.0
0.798,726.0477779788151,614.0,550.0
0.8,727.9105166051021,616.0,552.0
0.802,729.7732233059266,618.0,552.0
0.804,731.6358971266677,620.0,554.0
0.806,733.4985371245178,620.0,556.0
0.808,735.361142368447,622.0,558.0
0.81,737.2237119391641,624.0,560.0
0.812,739.0862449290796,626.0,560.0
0.8140000000000001,740.9487404422681,628.0,562.0
0.8160000000000001,742.8111975944299,630.0,564.0
0.8180000000000001,744.6736155128561,630.0,566.0
0.8200000000000001,746.5359933363876,632.0,566.0
0.8220000000000001,748.3983302153821,634.0,568.0
0.8240000000000001,750.2606253116737,636.0,570.0
0.8260000000000001,752.1228777974704,638.0,572.0
0.8280000000000001,753.9850868491229,640.0,574.0
0.8300000000000001,755.8472516513918,642.0,574.0
0.8320000000000001,757.7093714004592,642.0,576.0
0.834,759.5714453038988,644.0,578.0
0.836,761.4334725806411,646.0,580.0
0.838,763.2954524609354,648.0,582.0
0.84,765.1573841863118,650.0,582.0
0.842,767.0192670095449,652.0,584.0
0.844,768.8811001946177,654.0,586.0
0.846,770.742883016685,654.0,588.0
0.848,772.6046147620344,656.0,590.0
0.85,774.4662947280535,658.0,590.0
0.852,776.3279222231906,660.0,592.0
0.854,778.1894965669196,662.0,594.0
0.856,780.0510170896857,664.0,596.0
0.858,781.9124831316384,666.0,598.0
0.86,783.7738940418855,666.0,598.0
0.862,785.6352491802694,668.0,600.0
0.864,787.4965479175082,670.0,602.0
0.866,789.3577896351595,672.0,604.0
0.868,791.2189737255852,674.0,606.0
0.87,793.0800995919142,676.0,606.0
0.872,794.9411666480092,678.0,608.0
0.874,796.8021743184319,678.0,610.0
0.876,798.6631220384045,680.0,612.0
0.878,800.5240092537772,682.0,614.0
0.88,802.3848354209938,684.0,614.0
0.882,804.2456000070551,686.0,616.0
0.884,806.1063024894858,688.0,618.0
0.886,807.966942356298,690.0,620.0
0.888,809.8275191059573,690.0,620.0
0.89,811.6880322471216,692.0,622.0
0.892,813.5484812983871,694.0,624.0
0.894,815.4088657886552,696.0,626.0
0.896,817.2691852571495,698.0,628.0
0.898,819.1294392533844,700.0,628.0
0.9,820.989627337131,702.0,630.0
0.902,822.8497490767477,702.0,632.0
0.904,824.7098040426112,704.0,634.0
0.906,826.5697918054325,706.0,636.0
0.908,828.4297119362183,708.0,636.0
0.91,830.2895640062201,710.0,638.0
0.912,832.1493475868929,712.0,640.0
0.914,834.0090622498492,714.0,642.0
0.916,835.8687075668158,714.0,644.0
0.918,837.7282831095887,716.0,644.0
0.92,839.5877884499891,718.0,646.0
0.922,841.4472231599917,720.0,648.0
0.924,843.3065868145784,722.0,650.0
0.926,845.1658789912493,724.0,652.0
0.928,847.0250992674012,726.0,652.0
0.93,848.8842472201907,726.0,654.0
0.932,850.7433224264962,728.0,656.0
0.934,852.602324462874,730.0,658.0
0.936,854.4612529055184,732.0,660.0
0.9380000000000001,856.3201073302214,734.0,660.0
0.9400000000000001,858.1788873123277,736.0,662.0
0.9420000000000001,860.0375924266976,738.0,664.0
0.9440000000000001,861.8962222476671,738.0,666.0
0.9460000000000001,863.7547763490043,740.0,668.0
0.9480000000000001,865.613254303871,742.0,668.0
0.9500000000000001,867.4716556847845,744.0,670.0
0.9520000000000001,869.3299800635771,746.0,672.0
0.9540000000000001,871.1882270113546,748.0,674.0
0.9560000000000001,873.0463960984077,750.0,676.0
0.9580000000000001,874.9044868871888,750.0,678.0
0.96,876.7624989253459,752.0,678.0
0.962,878.6204317581521,754.0,680.0
0.964,880.4782849301429,756.0,682.0
0.966,882.3360579850764,758.0,684.0
0.968,884.1937504658944,760.0,686.0
0.97,886.0513619146836,762.0,686.0
0.972,887.9088918726372,762.0,688.0
0.974,889.7663398800164,764.0,690.0
0.976,891.623705476112,766.0,692.0
0.978,893.480988199208,768.0,694.0
0.98,895.3381875865427,770.0,694.0
0.982,897.1953031742719,772.0,696.0
0.984,899.0523344974304,774.0,698.0
0.986,900.9092810898987,776.0,700.0
0.988,902.7661424843616,776.0,702.0
0.99,904.6229182122757,778.0,702.0
0.992,906.4796078038805,780.0,704.0
0.994,908.3362107928217,782.0,706.0
0.996,910.192726719927,784.0,708.0
0.998,912.0491551254529,786.0,710.0
1.0,913.9054955481397,788.0,710.0
1.002,915.7618794322661,788.0,712.0
1.004,917.6183057123874,790.0,714.0
1.006,919.4747733299824,792.0,716.0
1.008,921.3312812334268,794.0,718.0
1.01,923.1878283779668,796.0,718.0
1.012,925.044413725693,798.0,720.0
1.014,926.9010362455123,800.0,722.0
1.016,928.7576949131252,800.0,724.0
1.018,930.6143887109955,802.0,726.0
1.02,932.4711166283267,804.0,726.0
1.022,934.3278776610354,806.0,728.0
1.024,936.1846708117246,808.0,730.0
1.026,938.0414950896586,810.0,732.0
1.028,939.8983495107374,812.0,734.0
1.03,941.7552330969063,814.0,736.0
1.032,943.612144869263,814.0,736.0
1.034,945.4690838502731,816.0,738.0
1.036,947.3260490689236,818.0,740.0
1.038,949.1830395608089,820.0,742.0
1.04,951.0400543681042,822.0,744.0
1.042,952.8970925395406,824.0,744.0
1.044,954.7541531303781,826.0,746.0
1.046,956.6112352023802,826.0,748.0
1.048,958.4683378237879,828.0,750.0
1.05,960.3254600692953,830.0,752.0
1.052,962.1826010200235,832.0,752.0
1.054,964.039759763494,834.0,754.0
1.056,965.8969353936051,836.0,756.0
1.058,967.7541270106059,838.0,758.0
1.06,969.6113337210704,840.0,760.0
1.062,971.468554637875,840.0,762.0
1.064,973.3257888801697,842.0,762.0
1.066,975.183035573356,844.0,764.0
1.068,977.0402938490587,846.0,766.0
1.07,978.8975628447006,848.0,768.0
1.072,980.7548417031934,850.0,770.0
1.074,982.6121295735367,852.0,770.0
1.076,984.4694256108662,854.0,772.0
1.078,986.3267289764309,854.0,774.0
1.08,988.1840388375667,856.0,776.0
1.082,990.0413543676718,858.0,778.0
1.084,991.8986747461845,860.0,778.0
1.086,993.755999158558,862.0,780.0
1.088,995.6133267962368,864.0,782.0
1.09,997.4706568566319,866.0,784.0
1.092,999.3279885430977,866.0,786.0
1.094,1001.1853210649087,868.0,788.0
1.096,1003.0426536372369,870.0,788.0
1.098,1004.8999854811236,872.0,790.0
1.1,1006.7573158234619,874.0,792.0
1.102,1008.6146438962925,876.0,794.0
1.104,1010.4719689340735,878.0,796.0
1.106,1012.3292901729866,880.0,796.0
1.108,1014.1866068509077,880.0,798.0
1.11,1016.0439182061834,882.0,800.0
1.112,1017.9012234762737,884.0,802.0
1.114,1019.7585218999843,886.0,804.0
1.116,1021.6158127177779,888.0,806.0
1.118,1023.4730951717551,890.0,806.0
1.12,1025.3303685056346,892.0,808.0
1.122,1027.1876319647354,894.0,810.0
1.124,1029.0448847959578,894.0,812.0
1.1260000000000001,1030.9021262477659,896.0,814.0
1.1280000000000001,1032.7593555701676,898.0,814.0
1.1300000000000001,1034.616572014698,900.0,816.0
1.1320000000000001,1036.4737748344003,902.0,818.0
1.1340000000000001,1038.330963283807,904.0,820.0
1.1360000000000001,1040.1881366189252,906.0,822.0
1.1380000000000001,1042.0452940972127,908.0,824.0
1.1400000000000001,1043.9024349775668,908.0,824.0
1.1420000000000001,1045.7595585203032,910.0,826.0
1.1440000000000001,1047.616663987137,912.0,828.0
1.1460000000000001,1049.4737506411686,914.0,830.0
1.1480000000000001,1051.330817746864,916.0,832.0
1.1500000000000001,1053.1878645699924,918.0,832.0
1.1520000000000001,1055.0448903758313,920.0,834.0
1.154,1056.9018944285788,922.0,836.0
1.156,1058.7588759935982,922.0,838.0
1.158,1060.6158343375628,924.0,840.0
1.16,1062.4727687284399,926.0,842.0
1.162,1064.3296784354734,928.0,842.0
1.164,1066.1865627291675,930.0,844.0
1.166,1068.043420881269,932.0,846.0
1.168,1069.900252164751,934.0,848.0
1.17,1071.7570558537966,936.0,850.0
1.172,1073.6138312237817,936.0,850.0
1.174,1075.470577551258,938.0,852.0
1.176,1077.3272941139383,940.0,854.0
1.178,1079.1839801906783,942.0,856.0
1.18,1081.040635061462,944.0,858.0
1.182,1082.897258007384,946.0,860.0
1.184,1084.7538483106343,948.0,860.0
1.186,1086.610405254482,950.0,862.0
1.188,1088.4669281232602,950.0,864.0
1.19,1090.3234162023498,952.0,866.0
1.192,1092.1798687781609,954.0,868.0
1.194,1094.0362851376087,956.0,870.0
1.196,1095.892664564635,958.0,870.0
1.198,1097.7490063423484,960.0,872.0
1.2,1099.6053097548595,962.0,874.0
1.202,1101.4615740875404,964.0,876.0
1.204,1103.3177986280662,964.0,878.0
1.206,1105.1739826666594,966.0,878.0
1.208,1107.0301254960762,968.0,880.0
1.21,1108.8862264115892,970.0,882.0
1.212,1110.7422847109692,972.0,884.0
1.214,1112.5982996944683,974.0,886.0
1.216,1114.4542706648053,976.0,888.0
1.218,1116.3101969271468,978.0,888.0
1.22,1118.1660777890918,978.0,890.0
1.222,1120.0219125606554,980.0,892.0
1.224,1121.877700554252,982.0,894.0
1.226,1123.7334410846802,984.0,896.0
1.228,1125.589133469103,986.0,898.0
1.23,1127.4447770270372,988.0,898.0
1.232,1129.300371080333,990.0,900.0
1.234,1131.1559149531581,992.0,902.0
1.236,1133.0114079719872,992.0,904.0
1.238,1134.8668494655624,994.0,906.0
1.24,1136.7222387642153,996.0,908.0
1.242,1138.5775751995561,998.0,908.0
1.244,1140.4328581053755,1000.0,910.0
1.246,1142.2880868176994,1002.0,912.0
1.248,1144.1432606747712,1004.0,914.0
1.25,1145.9983790170447,1006.0,916.0
1.252,1147.8534411871597,1006.0,916.0
1.254,1149.7084465299306,1008.0,918.0
1.256,1151.563394392333,1010.0,920.0
1.258,1153.418284123487,1012.0,922.0
1.26,1155.2731150746395,1014.0,924.0
1.262,1157.1278865991517,1016.0,926.0
1.264,1158.982598052486,1018.0,926.0
1.266,1160.837248792188,1020.0,928.0
1.268,1162.6918381778728,1022.0,930.0
1.27,1164.5463655712101,1022.0,932.0
1.272,1166.400830335911,1024.0,934.0
1.274,1168.25523183771,1026.0,936.0
1.276,1170.1095694443547,1028.0,936.0
1.278,1171.9638425255896,1030.0,938.0
1.28,1173.8180504531401,1032.0,940.0
1.282,1175.6721926007003,1034.0,942.0
1.284,1177.5262683439182,1036.0,944.0
1.286,1179.3802770588306,1036.0,946.0
1.288,1181.2342181188355,1038.0,946.0
1.29,1183.088090898442,1040.0,948.0
1.292,1184.9418947741012,1042.0,950.0
1.294,1186.7956291241928,1044.0,952.0
1.296,1188.6492933290103,1046.0,954.0
1.298,1190.5028867707476,1048.0,956.0
1.3,1192.3564088334845,1050.0,956.0
1.302,1194.2098589033976,1052.0,958.0
1.304,1196.0632363696293,1052.0,960.0
1.306,1197.9165406245017,1054.0,962.0
1.308,1199.7697710634957,1056.0,964.0
1.31,1201.6229270852411,1058.0,966.0
1.312,1203.476008091496,1060.0,966.0
1.314,1205.3290134871377,1062.0,968.0
1.316,1207.181942680142,1064.0,970.0
1.318,1209.0347950815762,1066.0,972.0
1.32,1210.887570105575,1066.0,974.0
1.322,1212.7402671693353,1068.0,976.0
1.324,1214.5928856930939,1070.0,976.0
1.326,1216.445425100117,1072.0,978.0
1.328,1218.2978848166867,1074.0,980.0
1.33,1220.150264272083,1076.0,982.0
1.332,1222.0025628985727,1078.0,984.0
1.334,1223.8547801307811,1080.0,984.0
1.336,1225.706915403559,1080.0,986.0
1.338,1227.5589681539584,1082.0,988.0
1.34,1229.410937821987,1084.0,990.0
1.342,1231.262823850593,1086.0,992.0
